,a,e,time
134,0.522,0.06315789473684211,5119.896305897602
135,0.5785,0.06315789473684211,1247.5696694750486
136,0.635,0.06315789473684211,4382.696046662346
137,0.6915,0.06315789473684211,2130.5897602073883
138,0.748,0.06315789473684211,2397.9261179520417
139,0.8045,0.06315789473684211,100000.0
140,0.861,0.06315789473684211,100000.0
141,0.9175,0.06315789473684211,100000.0
142,0.974,0.06315789473684211,100000.0
143,1.0305,0.06315789473684211,100000.0
144,1.087,0.06315789473684211,100000.0
145,1.1435,0.06315789473684211,100000.0
146,1.2,0.06315789473684211,100000.0
147,0.07,0.07368421052631578,4925.4698639014905
148,0.1265,0.07368421052631578,100000.0
149,0.183,0.07368421052631578,753.402462734932
150,0.2395,0.07368421052631578,2867.7900194426443
151,0.296,0.07368421052631578,100000.0
